Country,year_month,Cumulative_cases,New_cases,Cumulative_deaths
Brazil,2020-01-01,0,0.0,0
Brazil,2020-02-01,1,1.0,0
Brazil,2020-03-01,4256,4255.0,136
Brazil,2020-04-01,71886,67630.0,5017
Brazil,2020-05-01,465166,393280.0,27878
Brazil,2020-06-01,1344143,878977.0,57622
Brazil,2020-07-01,2552265,1208122.0,90134
Brazil,2020-08-01,3846153,1293888.0,120462
Brazil,2020-09-01,4745464,899311.0,142058
Brazil,2020-10-01,5494376,748912.0,158969
Brazil,2020-11-01,6290272,795896.0,172561
Brazil,2020-12-01,7563551,1273279.0,192681
Brazil,2021-01-01,9118513,1554962.0,222666
Brazil,2021-02-01,10455630,1337117.0,252835
Brazil,2021-03-01,12573615,2117985.0,313866
Brazil,2021-04-01,14521289,1947674.0,398185
Brazil,2021-05-01,16471600,1950311.0,461057
Brazil,2021-06-01,18448402,1976802.0,514092
Brazil,2021-07-01,19839369,1390967.0,554497
Brazil,2021-08-01,20741815,902446.0,579308
Brazil,2021-09-01,21381790,639975.0,595446
Brazil,2021-10-01,21793401,411611.0,607462
Brazil,2021-11-01,22080906,287505.0,614278
Brazil,2021-12-01,22263834,182928.0,618817
Brazil,2022-01-01,25214622,2950788.0,626524
Brazil,2022-02-01,28744050,3529428.0,648913
Brazil,2022-03-01,29882397,1138347.0,659241
Brazil,2022-04-01,30418920,536523.0,663225
Brazil,2022-05-01,30953579,534659.0,666453
Brazil,2022-06-01,32206954,1253375.0,670848
Brazil,2022-07-01,33790698,1583744.0,678313
Brazil,2022-08-01,34397205,606507.0,683622
Brazil,2022-09-01,34654190,256985.0,685927
Brazil,2022-10-01,34824069,169879.0,688091
Brazil,2022-11-01,35188586,364517.0,689536
Brazil,2022-12-01,36302415,1113829.0,693734
Brazil,2023-01-01,36794261,491846.0,696759
Brazil,2023-02-01,37024417,230156.0,698947
Brazil,2023-03-01,37258663,234246.0,700239
Brazil,2023-04-01,37449418,190755.0,701494
Brazil,2023-05-01,37511921,62503.0,702116
Brazil,2023-06-01,37511921,0.0,702116
Brazil,2023-07-01,37511921,0.0,702116
Brazil,2023-08-01,37511921,0.0,702116
Brazil,2023-09-01,37511921,0.0,702116
Brazil,2023-10-01,37511921,0.0,702116
Brazil,2023-11-01,37511921,0.0,702116
Brazil,2023-12-01,37511921,0.0,702116
Brazil,2024-01-01,37511921,0.0,702116
Brazil,2024-02-01,37511921,0.0,702116
Brazil,2024-03-01,37511921,0.0,702116
Brazil,2024-04-01,37511921,0.0,702116
Brazil,2024-05-01,37511921,0.0,702116
Brazil,2024-06-01,37511921,0.0,702116
Brazil,2024-07-01,37511921,0.0,702116
Brazil,2024-08-01,37511921,0.0,702116
Brazil,2024-09-01,37511921,0.0,702116
Brazil,2024-10-01,37511921,0.0,702116
Brazil,2024-11-01,37511921,0.0,702116
